qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|X0SGC5|X0SGC5_9ZZZZ	UPIMAPI	F5/8 type C domain-containing protein			PF22633;
tr|X0SDX9|X0SDX9_9ZZZZ	UPIMAPI	Uncharacterized protein			PF13360;
tr|X0SCD5|X0SCD5_9ZZZZ	UPIMAPI	Extracellular solute-binding protein	outer membrane-bounded periplasmic space [GO:0030288]; thiamine binding [GO:0030975]; thiamine pyrophosphate binding [GO:0030976]; thiamine transport [GO:0015888]		
tr|X0S989|X0S989_9ZZZZ	UPIMAPI	Desulfoferrodoxin ferrous iron-binding domain-containing protein	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; removal of superoxide radicals [GO:0019430]		PF06397;PF01880;
tr|X0S5R9|X0S5R9_9ZZZZ	UPIMAPI	Ketol-acid reductoisomerase	ketol-acid reductoisomerase activity [GO:0004455]; metal ion binding [GO:0046872]; isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]		PF01450;PF07991;
tr|X0RFZ0|X0RFZ0_9ZZZZ	UPIMAPI	F5/8 type C domain-containing protein			
tr|X0PB26|X0PB26_9LACO	UPIMAPI	Cell envelope-associated proteinase PrtR (PrtP)	membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF06280;PF00082;
tr|W9NZ45|W9NZ45_FUSOX	UPIMAPI	Zn(2)-C6 fungal-type domain-containing protein	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]		PF11951;PF00172;
tr|W9H6W3|W9H6W3_9PROT	UPIMAPI	Amino acid ABC transporter substrate-binding protein	amino acid transport [GO:0006865]		PF00497;
tr|W8ZLB9|W8ZLB9_9BACL	UPIMAPI	F5/8 type C domain-containing protein			PF00754;
tr|W8YDQ5|W8YDQ5_BACTU	UPIMAPI	Peptidase C1A papain C-terminal domain-containing protein	cysteine-type peptidase activity [GO:0008234]; proteolysis [GO:0006508]		PF00112;
tr|W8U908|W8U908_PEPAC	UPIMAPI	Middle cell wall protein			PF00395;
tr|W8QZ56|W8QZ56_STUST	UPIMAPI	C4-dicarboxylate ABC transporter	transmembrane transport [GO:0055085]		PF03480;
tr|W8EYH0|W8EYH0_9BACT	UPIMAPI	Serine protease (EC 3.4.21.-)	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	3.4.21.-	PF00089;
tr|W7YJ12|W7YJ12_9BACT	UPIMAPI	Outer membrane cobalamin receptor protein	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|W7YFX3|W7YFX3_9BACL	UPIMAPI	Alpha-glucosides-binding periplasmic protein AglE			
tr|W7XZ57|W7XZ57_9BACT	UPIMAPI	Lipoprotein			
tr|W7TAE0|W7TAE0_KUTS7	UPIMAPI	Alpha-1,2-mannosidase	cytosol [GO:0005829]; carbohydrate binding [GO:0030246]; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity [GO:0000224]; carbohydrate metabolic process [GO:0005975]; glycoprotein catabolic process [GO:0006516]		PF00754;PF07971;PF17678;
tr|W7KQA8|W7KQA8_CYTFI	UPIMAPI	C4-dicarboxylate transport system C4-dicarboxylate-binding protein	outer membrane-bounded periplasmic space [GO:0030288]; transmembrane transport [GO:0055085]		PF03480;
tr|W6U0Y7|W6U0Y7_9SPHI	UPIMAPI	Ig-like domain-containing protein			PF13585;
tr|W6M789|W6M789_9GAMM	UPIMAPI	PKD domain-containing protein			PF00041;PF18911;
tr|W4V5X5|W4V5X5_9FIRM	UPIMAPI	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	cytosol [GO:0005829]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]	1.2.1.-	PF02800;PF00044;
tr|W4UPQ7|W4UPQ7_9BACE	UPIMAPI	Surface protein			
tr|W4PKK4|W4PKK4_9BACE	UPIMAPI	RNA methyltransferase	cell outer membrane [GO:0009279]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]		PF13715;PF07715;PF00593;
tr|W4P5J8|W4P5J8_9BACE	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|W4M898|W4M898_9BACT	UPIMAPI	Glycerol-3-phosphate ABC transporter substrate-binding protein	periplasmic space [GO:0042597]; transmembrane transport [GO:0055085]		PF13416;
tr|W4LXG6|W4LXG6_9BACT	UPIMAPI	Malate dehydrogenase (EC 1.1.1.37)	L-lactate dehydrogenase activity [GO:0004459]; L-malate dehydrogenase (NAD+) activity [GO:0030060]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]; tricarboxylic acid cycle [GO:0006099]	1.1.1.37	PF02866;PF00056;
tr|W4LWG6|W4LWG6_ENTF1	UPIMAPI	Malate dehydrogenase (EC 1.1.1.37)	L-lactate dehydrogenase activity [GO:0004459]; L-malate dehydrogenase (NAD+) activity [GO:0030060]; lactate metabolic process [GO:0006089]; pyruvate metabolic process [GO:0006090]; tricarboxylic acid cycle [GO:0006099]	1.1.1.37	PF02866;PF00056;
tr|W4D9B7|W4D9B7_9BACL	UPIMAPI	ABC transporter substrate-binding protein			
tr|W4B4Y3|W4B4Y3_9BACL	UPIMAPI	S-layer domain-containing protein			
tr|W2UQK8|W2UQK8_9FLAO	UPIMAPI	Gliding motility-associated C-terminal domain-containing protein			PF13585;PF23237;
tr|W2NU56|W2NU56_PHYNI	UPIMAPI	Oxidation resistance protein 1	mitochondrion [GO:0005739]; signal transduction [GO:0007165]		PF04727;PF00620;PF02759;PF07534;
tr|W2NEK5|W2NEK5_PHYNI	UPIMAPI	GAF domain-containing protein			
tr|W2MFK2|W2MFK2_PHYNI	UPIMAPI	Peptidase S1 domain-containing protein	extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00089;
tr|W2LNG5|W2LNG5_PHYNI	UPIMAPI	BRO1 domain-containing protein			PF03097;
tr|W2L3G7|W2L3G7_PHYNI	UPIMAPI	VWFA domain-containing protein	nucleus [GO:0005634]; preribosome, large subunit precursor [GO:0030687]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]		PF07728;PF17865;PF17867;
tr|W2L0L2|W2L0L2_PHYNI	UPIMAPI	Syndetin C-terminal domain-containing protein	cytosol [GO:0005829]; EARP complex [GO:1990745]; SNARE binding [GO:0000149]; endocytic recycling [GO:0032456]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]		PF10474;PF10475;
tr|W2KME0|W2KME0_PHYNI	UPIMAPI	Calmodulin	membrane [GO:0016020]; calcium ion binding [GO:0005509]		PF00168;PF00169;
tr|W2G1F8|W2G1F8_PHYNI	UPIMAPI	PH domain-containing protein	centriolar satellite [GO:0034451]; centriole [GO:0005814]; centriole elongation [GO:0061511]; cilium assembly [GO:0060271]; protein localization to centrosome [GO:0071539]		
tr|W2CK11|W2CK11_9BACT	UPIMAPI	TonB-linked outer membrane protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF07715;PF00593;
tr|W2CCW6|W2CCW6_9BACT	UPIMAPI	TonB-linked outer membrane protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF07715;PF00593;
tr|W1N968|W1N968_9GAMM	UPIMAPI	Hcp1 family type VI secretion system effector			PF05638;
tr|W0RST4|W0RST4_9BACT	UPIMAPI	TonB-dependent outer membrane protein, SusC/RagA	cell outer membrane [GO:0009279]		PF13620;PF07715;PF00593;
tr|W0RQC1|W0RQC1_9BACT	UPIMAPI	TonB-dependent receptor	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;
tr|W0REZ2|W0REZ2_9BACT	UPIMAPI	Blue (Type 1) copper domain protein	copper ion binding [GO:0005507]; electron transfer activity [GO:0009055]		PF00127;
tr|W0J1Z1|W0J1Z1_9BACT	UPIMAPI	9-O-acetylesterase	sialate O-acetylesterase activity [GO:0001681]; carbohydrate metabolic process [GO:0005975]		
tr|W0FQ61|W0FQ61_9BACT	UPIMAPI	Elongation factor Tu (EF-Tu)	cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		PF00009;PF03144;PF03143;
tr|W0FJK1|W0FJK1_9BACT	UPIMAPI	Sugar ABC superfamily ATP binding cassette transporter substrate-binding protein			
tr|W0FJJ4|W0FJJ4_9BACT	UPIMAPI	Extracellular solute-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|W0F2C4|W0F2C4_9BACT	UPIMAPI	TonB-denpendent receptor	cell outer membrane [GO:0009279]; iron ion transport [GO:0006826]		PF13715;PF07715;PF00593;
tr|V9H2A5|V9H2A5_9CLOT	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|V7I6J0|V7I6J0_9CLOT	UPIMAPI	Gingipain domain-containing protein			
tr|V7I1S4|V7I1S4_9CLOT	UPIMAPI	ABC transporter substrate-binding protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|V6DLT5|V6DLT5_9LACO	UPIMAPI	Chromosome replication initiation / membrane attachment protein			PF07261;
tr|V5WH45|V5WH45_9SPIO	UPIMAPI	Phosphonate ABC transporter phosphate-binding periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; transmembrane transport [GO:0055085]		PF12974;
tr|V5EMR2|V5EMR2_PHOLE	UPIMAPI	Transposase	DNA integration [GO:0015074]		PF22483;PF00665;
tr|V4L783|V4L783_9BACT	UPIMAPI	ABC transporter substrate-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|V4L3Y2|V4L3Y2_9GAMM	UPIMAPI	PEP-CTERM sorting domain-containing protein			
tr|V4L3T2|V4L3T2_9BACT	UPIMAPI	TRAP transporter substrate-binding protein DctP	iron-sulfur cluster binding [GO:0051536]; transmembrane transport [GO:0055085]		PF03480;
tr|V4JAW4|V4JAW4_9BACT	UPIMAPI	CBS domain-containing protein			PF00571;
tr|V4ALB7|V4ALB7_LOTGI	UPIMAPI	ATP-dependent RNA helicase (EC 3.6.4.13)	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]	3.6.4.13	PF00270;PF00622;
tr|U7D7H7|U7D7H7_9BACT	UPIMAPI	Type IV pilin PilA	membrane [GO:0016020]		PF07963;
tr|U6EF83|U6EF83_9EURY	UPIMAPI	SPFH domain/Band 7 family protein (Slipin family protein)	plasma membrane [GO:0005886]		PF01145;
tr|U6EF42|U6EF42_9EURY	UPIMAPI	CoB--CoM heterodisulfide reductase iron-sulfur subunit A (EC 1.8.-.-)	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	1.8.-.-	PF12831;PF00037;PF13187;
tr|U6EF41|U6EF41_9EURY	UPIMAPI	Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB)	cytoplasm [GO:0005737]; proteasome core complex, beta-subunit complex [GO:0019774]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]	3.4.25.1	PF00227;
tr|U6EEP1|U6EEP1_9EURY	UPIMAPI	Methyl-coenzyme M reductase subunit alpha (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	2.8.4.1	PF02249;PF02745;
tr|U6EEC5|U6EEC5_9EURY	UPIMAPI	Methyl-coenzyme M reductase subunit beta (EC 2.8.4.1) (Coenzyme-B sulfoethylthiotransferase beta)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; methanogenesis [GO:0015948]	2.8.4.1	PF02241;PF02783;
tr|U6EEA9|U6EEA9_9EURY	UPIMAPI	DUF2193 domain-containing protein			PF09959;
tr|U6EE04|U6EE04_9EURY	UPIMAPI	Cob/CoM heterodisulfide reductase subunit C (EC 1.8.98.1)	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; CoB--CoM heterodisulfide reductase activity [GO:0051912]; methanogenesis [GO:0015948]	1.8.98.1	PF13183;
tr|U6EDD7|U6EDD7_9EURY	UPIMAPI	Coenzyme F420 hydrogenase subunit beta (EC 1.12.98.1)	coenzyme F420 hydrogenase activity [GO:0050454]; flavin adenine dinucleotide binding [GO:0050660]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]; oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor [GO:0052592]	1.12.98.1	PF04432;PF04422;
tr|U6ECM8|U6ECM8_9EURY	UPIMAPI	Transglutaminase domain-containing protein			PF09373;PF01841;
tr|U6ECD7|U6ECD7_9EURY	UPIMAPI	TATA-box-binding protein (Box A-binding protein) (BAP) (TATA sequence-binding protein) (TBP) (TATA-box factor)	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-templated transcription initiation [GO:0006352]		PF00352;
tr|U6EBU8|U6EBU8_9EURY	UPIMAPI	V-type proton ATPase subunit E (V-ATPase subunit E)	proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton motive force-driven plasma membrane ATP synthesis [GO:0042777]		PF01991;
tr|U6EBR7|U6EBR7_9EURY	UPIMAPI	formylmethanofuran dehydrogenase (EC 1.2.7.12)	formylmethanofuran dehydrogenase activity [GO:0018493]; transition metal ion binding [GO:0046914]; methanogenesis, from carbon dioxide [GO:0019386]	1.2.7.12	
tr|U6EB36|U6EB36_9EURY	UPIMAPI	Protein FwdA	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]		PF07969;
tr|U6EA90|U6EA90_9EURY	UPIMAPI	Proteasome subunit alpha (20S proteasome alpha subunit) (Proteasome core protein PsmA)	cytoplasm [GO:0005737]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; proteasomal protein catabolic process [GO:0010498]; ubiquitin-dependent protein catabolic process [GO:0006511]		PF00227;PF10584;
tr|U6EA74|U6EA74_9EURY	UPIMAPI	Thermosome subunit beta	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00118;
tr|U5Q7I2|U5Q7I2_9BACT	UPIMAPI	Small heat shock protein C2			PF00011;
tr|U5Q7A1|U5Q7A1_9BACT	UPIMAPI	DUF4988 domain-containing protein			PF16378;
tr|U5Q4Z0|U5Q4Z0_9BACT	UPIMAPI	NB-Dependent Receptor Plug	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|U5Q2N1|U5Q2N1_9BACT	UPIMAPI	Succinate dehydrogenase flavoprotein subunit (EC 1.3.99.1)	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase activity [GO:0000104]; anaerobic respiration [GO:0009061]	1.3.99.1	PF00890;PF02910;
tr|U5PWW2|U5PWW2_9CAUD	UPIMAPI	Major head protein	membrane [GO:0016020]		PF17236;
tr|U5L3Q3|U5L3Q3_POPTO	UPIMAPI	Cellulose synthase (EC 2.4.1.12)	plasma membrane [GO:0005886]; cellulose synthase (UDP-forming) activity [GO:0016760]; zinc ion binding [GO:0008270]; cell wall organization [GO:0071555]; cellulose biosynthetic process [GO:0030244]	2.4.1.12	PF03552;PF14569;
tr|U5C0K9|U5C0K9_9BACT	UPIMAPI	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]		PF13715;PF07715;
tr|U4R5R1|U4R5R1_9FIRM	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|U4R337|U4R337_9FIRM	UPIMAPI	ABC transporter substrate-binding protein			PF01547;
tr|U2TGF5|U2TGF5_9FIRM	UPIMAPI	Putative periplasmic oligopeptide-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell envelope [GO:0030313]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|U2JET0|U2JET0_9SPHI	UPIMAPI	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF07715;PF00593;
